years,months,year_month,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,1,2010-January,E,1,16,247,6.478,6.478
2010,1,2010-January,S,2,7,247,2.834,10.526
2010,3,2010-March,SE,1,7,174,4.023,4.023
2010,3,2010-March,SW,3,1,174,0.575,10.92
2010,4,2010-April,S,4,23,720,3.194,14.861
2010,5,2010-May,E,2,53,736,7.201,18.886
2010,9,2010-September,NE,1,50,642,7.788,7.788
2010,9,2010-September,SE,4,7,642,1.09,20.561
2010,11,2010-November,SW,3,2,633,0.316,9.794
2010,12,2010-December,SE,2,51,638,7.994,16.144
2010,1,2010-January,N,4,3,247,1.215,2.43
2010,3,2010-March,NE,1,8,174,4.598,4.598
2010,4,2010-April,W,4,1,720,0.139,4.861
2010,8,2010-August,W,5,2,650,0.308,11.538
2010,9,2010-September,NW,4,1,642,0.156,3.272
2010,10,2010-October,SW,4,1,608,0.164,8.059
2010,1,2010-January,NW,2,5,247,2.024,4.048
2010,6,2010-June,SE,1,41,716,5.726,5.726
2010,6,2010-June,SE,4,8,716,1.117,20.391
2010,7,2010-July,NE,3,4,667,0.6,13.793
2010,7,2010-July,SE,4,20,667,2.999,22.939
2010,8,2010-August,N,2,4,650,0.615,0.923
2010,8,2010-August,N,3,5,650,0.769,1.692
2010,8,2010-August,NW,2,22,650,3.385,4.462
2010,9,2010-September,W,3,14,642,2.181,11.216
2010,10,2010-October,S,3,11,608,1.809,14.802
2010,10,2010-October,W,3,11,608,1.809,8.059
2010,12,2010-December,E,1,63,638,9.875,9.875
2010,1,2010-January,S,1,19,247,7.692,7.692
2010,3,2010-March,NW,1,11,174,6.322,6.322
2010,6,2010-June,SE,3,33,716,4.609,19.274
2010,6,2010-June,SE,5,1,716,0.14,20.531
2010,7,2010-July,NW,2,15,667,2.249,2.999
2010,8,2010-August,W,4,4,650,0.615,11.23
2010,12,2010-December,SE,3,6,638,0.94,17.084
2010,4,2010-April,SE,3,55,720,7.639,25.695
2010,7,2010-July,E,3,9,667,1.349,21.139
2010,7,2010-July,S,3,10,667,1.499,9.145
2010,7,2010-July,SE,6,4,667,0.6,25.038
2010,8,2010-August,SE,1,32,650,4.923,4.923
2010,11,2010-November,SW,4,1,633,0.158,9.952
2010,1,2010-January,SE,4,3,247,1.215,17.004
2010,3,2010-March,E,4,3,174,1.724,16.092
2010,6,2010-June,N,1,2,716,0.279,0.279
2010,6,2010-June,N,2,1,716,0.14,0.419
2010,7,2010-July,NE,7,1,667,0.15,14.243
2010,9,2010-September,W,4,1,642,0.156,11.372
2010,11,2010-November,NE,2,44,633,6.951,17.693
2010,12,2010-December,NW,1,33,638,5.172,5.172
2010,1,2010-January,E,5,4,247,1.619,27.935
2010,1,2010-January,NW,1,5,247,2.024,2.024
2010,11,2010-November,W,2,23,633,3.633,9.636
2010,3,2010-March,SE,2,17,174,9.77,13.793
2010,4,2010-April,E,5,12,720,1.667,27.084
2010,7,2010-July,N,1,4,667,0.6,0.6
2010,7,2010-July,NE,4,2,667,0.3,14.093
2010,7,2010-July,W,3,16,667,2.399,11.995
2010,8,2010-August,SW,1,14,650,2.154,2.154
2010,8,2010-August,W,1,10,650,1.538,1.538
2010,9,2010-September,N,3,3,642,0.467,1.713
2010,9,2010-September,NE,3,8,642,1.246,15.576
2010,10,2010-October,NE,3,9,608,1.48,15.79
2010,10,2010-October,SE,5,4,608,0.658,23.027
2010,12,2010-December,W,2,20,638,3.135,8.934
2010,1,2010-January,W,1,20,247,8.097,8.097
2010,3,2010-March,NE,2,13,174,7.471,12.069
2010,4,2010-April,N,4,1,720,0.139,1.251
2010,4,2010-April,NE,3,3,720,0.417,8.056
2010,5,2010-May,NW,2,5,736,0.679,1.494
2010,9,2010-September,SW,3,25,642,3.894,14.018
2010,1,2010-January,SE,3,11,247,4.453,15.789
2010,5,2010-May,SW,1,15,736,2.038,2.038
2010,5,2010-May,W,3,28,736,3.804,8.559
2010,7,2010-July,N,9,1,667,0.15,2.25
2010,7,2010-July,SW,10,1,667,0.15,9.895
2010,7,2010-July,W,4,1,667,0.15,12.145
2010,8,2010-August,SW,2,44,650,6.769,8.923
2010,9,2010-September,S,3,11,642,1.713,9.346
2010,10,2010-October,SE,4,10,608,1.645,22.369
2010,10,2010-October,SE,6,1,608,0.164,23.191
2010,11,2010-November,N,3,5,633,0.79,2.528
2010,12,2010-December,N,3,2,638,0.313,1.723
2010,4,2010-April,NE,4,5,720,0.694,8.75
2010,4,2010-April,NW,3,1,720,0.139,1.667
2010,6,2010-June,SW,2,40,716,5.587,9.637
2010,10,2010-October,E,2,44,608,7.237,18.092
2010,10,2010-October,N,1,4,608,0.658,0.658
2010,10,2010-October,NE,2,35,608,5.757,14.31
2010,10,2010-October,S,2,24,608,3.947,12.993
2010,12,2010-December,NE,4,13,638,2.038,21.788
2010,12,2010-December,W,3,1,638,0.157,9.091
2010,3,2010-March,NE,5,3,174,1.724,24.712
2010,5,2010-May,NE,4,2,736,0.272,9.375
2010,6,2010-June,SW,4,2,716,0.279,13.408
2010,7,2010-July,NW,1,5,667,0.75,0.75
2010,7,2010-July,SW,1,28,667,4.198,4.198
2010,11,2010-November,W,1,38,633,6.003,6.003
2010,1,2010-January,NE,4,7,247,2.834,11.741
2010,1,2010-January,SW,1,16,247,6.478,6.478
2010,4,2010-April,E,1,64,720,8.889,8.889
2010,4,2010-April,NE,1,35,720,4.861,4.861
2010,4,2010-April,SE,1,39,720,5.417,5.417
2010,6,2010-June,N,3,2,716,0.279,0.698
2010,7,2010-July,SW,2,29,667,4.348,8.546
2010,3,2010-March,NW,2,1,174,0.575,6.897
2010,4,2010-April,S,5,5,720,0.694,15.555
2010,4,2010-April,SE,2,91,720,12.639,18.056
2010,5,2010-May,NE,1,41,736,5.571,5.571
2010,6,2010-June,NE,2,43,716,6.006,15.643
2010,9,2010-September,S,2,22,642,3.427,7.633
2010,11,2010-November,NE,3,21,633,3.318,21.011
2010,11,2010-November,S,1,51,633,8.057,8.057
2010,11,2010-November,W,3,3,633,0.474,10.11
2010,1,2010-January,N,5,2,247,0.81,3.24
2010,5,2010-May,NE,3,4,736,0.543,9.103
2010,9,2010-September,SE,2,64,642,9.969,16.044
2010,5,2010-May,S,5,5,736,0.679,17.662
2010,7,2010-July,SW,3,8,667,1.199,9.745
2010,9,2010-September,E,3,4,642,0.623,21.962
2010,9,2010-September,S,4,5,642,0.779,10.125
2010,10,2010-October,SE,1,68,608,11.184,11.184
2010,3,2010-March,E,3,8,174,4.598,14.368
2010,5,2010-May,NE,2,22,736,2.989,8.56
2010,5,2010-May,S,1,22,736,2.989,2.989
2010,5,2010-May,SW,4,8,736,1.087,13.316
2010,8,2010-August,S,3,16,650,2.462,12.001
2010,9,2010-September,NE,5,1,642,0.156,16.044
2010,9,2010-September,W,2,39,642,6.075,9.035
2010,10,2010-October,NW,1,14,608,2.303,2.303
2010,3,2010-March,N,5,1,174,0.575,0.575
2010,7,2010-July,S,4,1,667,0.15,9.295
2010,9,2010-September,E,1,74,642,11.526,11.526
2010,11,2010-November,NW,1,25,633,3.949,3.949
2010,1,2010-January,N,2,1,247,0.405,0.405
2010,1,2010-January,NE,5,6,247,2.429,14.17
2010,3,2010-March,NE,3,10,174,5.747,17.816
2010,5,2010-May,SE,1,37,736,5.027,5.027
2010,5,2010-May,SW,2,49,736,6.658,8.696
2010,9,2010-September,NW,1,10,642,1.558,1.558
2010,9,2010-September,SW,2,33,642,5.14,10.124
2010,11,2010-November,NE,1,68,633,10.742,10.742
2010,12,2010-December,NE,1,32,638,5.016,5.016
2010,4,2010-April,E,2,54,720,7.5,16.389
2010,8,2010-August,SE,3,18,650,2.769,19.384
2010,9,2010-September,NW,2,9,642,1.402,2.96
2010,9,2010-September,SE,3,22,642,3.427,19.471
2010,10,2010-October,N,2,8,608,1.316,1.974
2010,10,2010-October,NE,1,52,608,8.553,8.553
2010,10,2010-October,S,1,55,608,9.046,9.046
2010,5,2010-May,W,4,8,736,1.087,9.646
2010,6,2010-June,SW,1,29,716,4.05,4.05
2010,7,2010-July,NE,2,47,667,7.046,13.193
2010,7,2010-July,SE,3,35,667,5.247,19.94
2010,11,2010-November,NW,2,16,633,2.528,6.477
2010,12,2010-December,N,4,4,638,0.627,2.35
2010,12,2010-December,SW,2,12,638,1.881,11.129
2010,1,2010-January,NE,3,8,247,3.239,8.907
2010,3,2010-March,E,1,8,174,4.598,4.598
2010,4,2010-April,S,2,28,720,3.889,8.056
2010,5,2010-May,E,4,5,736,0.679,21.06
2010,5,2010-May,SW,3,26,736,3.533,12.229
2010,6,2010-June,NE,3,8,716,1.117,16.76
2010,9,2010-September,SW,4,5,642,0.779,14.797
2010,10,2010-October,SW,3,4,608,0.658,7.895
2010,12,2010-December,SW,1,59,638,9.248,9.248
2010,4,2010-April,SW,3,14,720,1.944,8.471
2010,8,2010-August,N,1,2,650,0.308,0.308
2010,9,2010-September,E,2,63,642,9.813,21.339
2010,4,2010-April,E,4,25,720,3.472,25.417
2010,4,2010-April,S,3,26,720,3.611,11.667
2010,5,2010-May,E,3,11,736,1.495,20.381
2010,6,2010-June,NE,1,69,716,9.637,9.637
2010,7,2010-July,S,1,28,667,4.198,4.198
2010,8,2010-August,NW,1,7,650,1.077,1.077
2010,8,2010-August,S,1,22,650,3.385,3.385
2010,8,2010-August,W,3,30,650,4.615,10.615
2010,10,2010-October,SE,2,33,608,5.428,16.612
2010,3,2010-March,NE,4,9,174,5.172,22.988
2010,4,2010-April,N,3,2,720,0.278,1.112
2010,8,2010-August,NE,1,38,650,5.846,5.846
2010,9,2010-September,NE,4,2,642,0.312,15.888
2010,3,2010-March,SW,2,6,174,3.448,10.345
2010,4,2010-April,SE,6,1,720,0.139,32.084
2010,6,2010-June,E,1,94,716,13.128,13.128
2010,7,2010-July,E,4,2,667,0.3,21.439
2010,8,2010-August,SW,5,1,650,0.154,19.385
2010,12,2010-December,E,3,11,638,1.724,17.712
2010,12,2010-December,W,1,37,638,5.799,5.799
2010,6,2010-June,W,3,18,716,2.514,9.637
2010,7,2010-July,E,2,68,667,10.195,19.79
2010,10,2010-October,SW,2,13,608,2.138,7.237
2010,12,2010-December,SW,3,2,638,0.313,11.442
2010,1,2010-January,W,2,7,247,2.834,10.931
2010,3,2010-March,S,3,6,174,3.448,12.069
2010,4,2010-April,SE,4,31,720,4.306,30.001
2010,5,2010-May,NW,1,6,736,0.815,0.815
2010,6,2010-June,S,3,8,716,1.117,9.776
2010,10,2010-October,SE,3,25,608,4.112,20.724
2010,10,2010-October,SW,5,1,608,0.164,8.223
2010,11,2010-November,E,1,58,633,9.163,9.163
2010,11,2010-November,E,2,42,633,6.635,15.798
2010,11,2010-November,NE,4,4,633,0.632,21.643
2010,11,2010-November,SW,1,36,633,5.687,5.687
2010,12,2010-December,S,1,58,638,9.091,9.091
2010,1,2010-January,SW,2,7,247,2.834,9.312
2010,3,2010-March,E,2,9,174,5.172,9.77
2010,3,2010-March,S,2,7,174,4.023,8.621
2010,4,2010-April,E,3,40,720,5.556,21.945
2010,10,2010-October,S,4,10,608,1.645,16.447
2010,4,2010-April,N,2,3,720,0.417,0.834
2010,4,2010-April,W,2,15,720,2.083,4.305
2010,5,2010-May,N,2,1,736,0.136,0.136
2010,5,2010-May,S,2,44,736,5.978,8.967
2010,6,2010-June,S,2,33,716,4.609,8.659
2010,9,2010-September,N,2,4,642,0.623,1.246
2010,10,2010-October,W,2,23,608,3.783,6.25
2010,12,2010-December,S,2,23,638,3.605,12.696
2010,4,2010-April,N,1,3,720,0.417,0.417
2010,8,2010-August,NW,3,14,650,2.154,6.616
2010,9,2010-September,S,1,27,642,4.206,4.206
2010,12,2010-December,N,1,6,638,0.94,0.94
2010,4,2010-April,S,1,30,720,4.167,4.167
2010,6,2010-June,E,2,78,716,10.894,24.022
2010,8,2010-August,S,5,1,650,0.154,12.309
2010,8,2010-August,W,2,29,650,4.462,6.0
2010,9,2010-September,SE,1,39,642,6.075,6.075
2010,4,2010-April,NW,2,4,720,0.556,1.528
2010,6,2010-June,S,1,29,716,4.05,4.05
2010,7,2010-July,SE,2,59,667,8.846,14.693
2010,8,2010-August,SE,2,76,650,11.692,16.615
2010,9,2010-September,SW,1,32,642,4.984,4.984
2010,11,2010-November,N,2,8,633,1.264,1.738
2010,1,2010-January,E,2,22,247,8.907,15.385
2010,3,2010-March,NE,6,1,174,0.575,25.287
2010,3,2010-March,SE,3,3,174,1.724,15.517
2010,6,2010-June,NW,2,12,716,1.676,2.235
2010,9,2010-September,NW,3,1,642,0.156,3.116
2010,3,2010-March,SW,1,12,174,6.897,6.897
2010,5,2010-May,W,1,6,736,0.815,0.815
2010,7,2010-July,W,1,18,667,2.699,2.699
2010,7,2010-July,W,2,46,667,6.897,9.596
2010,8,2010-August,E,1,47,650,7.231,7.231
2010,9,2010-September,N,4,1,642,0.156,1.869
2010,10,2010-October,SW,1,31,608,5.099,5.099
2010,11,2010-November,N,4,1,633,0.158,2.686
2010,11,2010-November,NW,3,4,633,0.632,7.109
2010,11,2010-November,S,3,8,633,1.264,13.586
2010,4,2010-April,NW,1,7,720,0.972,0.972
2010,5,2010-May,NW,3,7,736,0.951,2.445
2010,7,2010-July,N,3,4,667,0.6,2.1
2010,7,2010-July,S,2,23,667,3.448,7.646
2010,8,2010-August,S,4,1,650,0.154,12.155
2010,9,2010-September,N,1,4,642,0.623,0.623
2010,12,2010-December,NE,2,54,638,8.464,13.48
2010,1,2010-January,E,4,9,247,3.644,26.316
2010,1,2010-January,W,3,2,247,0.81,11.741
2010,3,2010-March,W,2,6,174,3.448,12.643
2010,4,2010-April,W,1,16,720,2.222,2.222
2010,5,2010-May,W,2,29,736,3.94,4.755
2010,7,2010-July,SE,1,39,667,5.847,5.847
2010,8,2010-August,SW,3,45,650,6.923,15.846
2010,12,2010-December,SE,4,2,638,0.313,17.397
2010,8,2010-August,SW,4,22,650,3.385,19.231
2010,11,2010-November,E,3,8,633,1.264,17.062
2010,11,2010-November,SE,1,60,633,9.479,9.479
2010,11,2010-November,SW,2,24,633,3.791,9.478
2010,12,2010-December,NW,2,12,638,1.881,7.053
2010,5,2010-May,SE,4,13,736,1.766,26.087
2010,6,2010-June,SW,3,25,716,3.492,13.129
2010,6,2010-June,W,2,36,716,5.028,7.123
2010,7,2010-July,E,6,1,667,0.15,21.589
2010,7,2010-July,E,7,1,667,0.15,21.739
2010,10,2010-October,NE,5,1,608,0.164,16.776
2010,10,2010-October,NW,3,5,608,0.822,4.934
2010,5,2010-May,S,4,22,736,2.989,16.983
2010,7,2010-July,N,2,6,667,0.9,1.5
2010,7,2010-July,NE,1,41,667,6.147,6.147
2010,11,2010-November,SE,5,1,633,0.158,17.852
2010,5,2010-May,SE,3,49,736,6.658,24.321
2010,3,2010-March,S,1,8,174,4.598,4.598
2010,4,2010-April,SE,5,14,720,1.944,31.945
2010,4,2010-April,SW,4,2,720,0.278,8.749
2010,6,2010-June,NW,3,9,716,1.257,3.492
2010,11,2010-November,N,1,3,633,0.474,0.474
2010,11,2010-November,SE,3,8,633,1.264,17.694
2010,4,2010-April,SW,2,23,720,3.194,6.527
2010,7,2010-July,E,1,64,667,9.595,9.595
2010,8,2010-August,E,2,51,650,7.846,15.077
2010,8,2010-August,S,2,40,650,6.154,9.539
2010,10,2010-October,E,4,3,608,0.493,19.901
2010,12,2010-December,E,2,39,638,6.113,15.988
2010,1,2010-January,NE,1,4,247,1.619,1.619
2010,1,2010-January,SE,1,16,247,6.478,6.478
2010,7,2010-July,S,5,3,667,0.45,9.745
2010,12,2010-December,N,2,3,638,0.47,1.41
2010,12,2010-December,S,3,1,638,0.157,12.853
2010,6,2010-June,SE,2,64,716,8.939,14.665
2010,6,2010-June,W,1,15,716,2.095,2.095
2010,7,2010-July,NW,7,1,667,0.15,4.948
2010,8,2010-August,NW,4,1,650,0.154,6.77
2010,9,2010-September,NE,2,42,642,6.542,14.33
2010,10,2010-October,E,1,66,608,10.855,10.855
2010,10,2010-October,NW,2,11,608,1.809,4.112
2010,12,2010-December,E,4,1,638,0.157,17.869
2010,1,2010-January,E,3,18,247,7.287,22.672
2010,1,2010-January,N,3,2,247,0.81,1.215
2010,5,2010-May,SE,5,2,736,0.272,26.359
2010,6,2010-June,E,3,5,716,0.698,24.72
2010,7,2010-July,NW,3,9,667,1.349,4.348
2010,8,2010-August,E,3,4,650,0.615,15.692
2010,8,2010-August,NE,3,1,650,0.154,13.077
2010,10,2010-October,W,1,15,608,2.467,2.467
2010,1,2010-January,NE,2,10,247,4.049,5.668
2010,1,2010-January,SE,5,3,247,1.215,18.219
2010,6,2010-June,NE,4,1,716,0.14,16.9
2010,8,2010-August,NE,2,46,650,7.077,12.923
2010,10,2010-October,E,3,8,608,1.316,19.408
2010,10,2010-October,NE,4,5,608,0.822,16.612
2010,11,2010-November,SE,2,44,633,6.951,16.43
2010,12,2010-December,NE,3,40,638,6.27,19.75
2010,5,2010-May,S,3,37,736,5.027,13.994
2010,6,2010-June,NW,1,4,716,0.559,0.559
2010,6,2010-June,W,4,2,716,0.279,9.916
2010,10,2010-October,N,3,2,608,0.329,2.303
2010,10,2010-October,S,5,1,608,0.164,16.611
2010,12,2010-December,SE,1,52,638,8.15,8.15
2010,1,2010-January,S,3,2,247,0.81,11.336
2010,3,2010-March,W,1,16,174,9.195,9.195
2010,4,2010-April,SW,1,24,720,3.333,3.333
2010,4,2010-April,W,3,3,720,0.417,4.722
2010,6,2010-June,S,4,4,716,0.559,10.335
2010,7,2010-July,SE,5,10,667,1.499,24.438
2010,8,2010-August,SE,4,1,650,0.154,19.538
2010,11,2010-November,S,2,27,633,4.265,12.322
2010,12,2010-December,S,4,1,638,0.157,13.01
2010,1,2010-January,SE,2,12,247,4.858,11.336
2010,4,2010-April,NE,2,20,720,2.778,7.639
2010,5,2010-May,E,1,86,736,11.685,11.685
2010,5,2010-May,SE,2,93,736,12.636,17.663
2010,7,2010-July,NW,4,3,667,0.45,4.798
2010,9,2010-September,W,1,19,642,2.96,2.96
